steps,episode,reward
10000,-1,385.0
20000,-1,413.0
30000,-1,386.0
40000,-1,524.0
50000,-1,375.0
60000,-1,365.0
70000,-1,358.0
80000,-1,345.0
90000,-1,325.0
100000,-1,529.0
110000,-1,331.0
120000,-1,347.0
130000,-1,465.0
140000,-1,340.0
150000,-1,511.0
160000,-1,365.0
170000,-1,410.0
180000,-1,380.0
190000,-1,515.0
200000,-1,465.0
210000,-1,414.0
220000,-1,406.0
230000,-1,410.0
240000,-1,515.0
250000,-1,375.0
260000,-1,487.0
270000,-1,336.0
280000,-1,410.0
290000,-1,395.0
300000,-1,520.0
310000,-1,260.0
320000,-1,540.0
330000,-1,405.0
340000,-1,450.0
350000,-1,430.0
360000,-1,525.0
370000,-1,465.0
380000,-1,490.0
390000,-1,480.0
400000,-1,355.0
410000,-1,418.0
420000,-1,430.0
430000,-1,656.0
440000,-1,400.0
450000,-1,503.0
460000,-1,535.0
470000,-1,444.0
480000,-1,406.0
490000,-1,441.0
500000,-1,479.0
510000,-1,635.0
520000,-1,490.0
530000,-1,554.0
540000,-1,567.0
550000,-1,410.0
560000,-1,540.0
