steps,episode,reward
10000,-1,361.0
20000,-1,586.0
30000,-1,466.0
40000,-1,541.0
50000,-1,556.0
60000,-1,409.0
70000,-1,453.0
80000,-1,496.0
90000,-1,496.0
100000,-1,723.0
110000,-1,501.0
120000,-1,618.0
130000,-1,671.0
140000,-1,752.0
150000,-1,477.0
160000,-1,571.0
170000,-1,771.0
180000,-1,671.0
190000,-1,841.0
200000,-1,661.0
210000,-1,787.0
220000,-1,429.0
230000,-1,850.0
240000,-1,640.0
250000,-1,683.0
260000,-1,770.0
270000,-1,811.0
280000,-1,860.0
290000,-1,836.0
300000,-1,664.0
310000,-1,853.0
320000,-1,675.0
330000,-1,754.0
340000,-1,728.0
350000,-1,642.0
360000,-1,909.0
370000,-1,730.0
380000,-1,979.0
390000,-1,895.0
400000,-1,799.0
410000,-1,787.0
420000,-1,725.0
430000,-1,683.0
440000,-1,873.0
450000,-1,783.0
460000,-1,839.0
470000,-1,901.0
480000,-1,839.0
490000,-1,926.0
500000,-1,847.0
510000,-1,688.0
520000,-1,827.0
530000,-1,693.0
540000,-1,1137.0
550000,-1,829.0
560000,-1,769.0
570000,-1,690.0
580000,-1,853.0
590000,-1,809.0
600000,-1,733.0
610000,-1,875.0
