steps,episode,reward
10000,-1,260.0
20000,-1,351.0
30000,-1,464.0
40000,-1,463.0
50000,-1,463.0
60000,-1,610.0
70000,-1,586.0
80000,-1,775.0
90000,-1,725.0
100000,-1,529.0
110000,-1,673.0
120000,-1,905.0
130000,-1,718.0
140000,-1,737.0
150000,-1,768.0
160000,-1,649.0
170000,-1,633.0
180000,-1,538.0
190000,-1,702.0
200000,-1,592.0
210000,-1,625.0
220000,-1,882.0
230000,-1,653.0
240000,-1,896.0
250000,-1,713.0
260000,-1,544.0
270000,-1,741.0
280000,-1,776.0
290000,-1,769.0
300000,-1,737.0
310000,-1,673.0
320000,-1,733.0
330000,-1,740.0
340000,-1,704.0
350000,-1,654.0
360000,-1,732.0
370000,-1,730.0
380000,-1,705.0
390000,-1,718.0
400000,-1,708.0
410000,-1,825.0
420000,-1,718.0
430000,-1,805.0
440000,-1,805.0
450000,-1,712.0
460000,-1,759.0
470000,-1,976.0
480000,-1,874.0
490000,-1,734.0
500000,-1,741.0
510000,-1,858.0
520000,-1,746.0
530000,-1,844.0
540000,-1,655.0
550000,-1,620.0
560000,-1,745.0
570000,-1,753.0
580000,-1,678.0
590000,-1,956.0
600000,-1,801.0
610000,-1,891.0
620000,-1,799.0
630000,-1,851.0
640000,-1,885.0
650000,-1,884.0
660000,-1,880.0
670000,-1,858.0
680000,-1,1034.0
690000,-1,906.0
700000,-1,730.0
710000,-1,693.0
720000,-1,659.0
730000,-1,837.0
740000,-1,625.0
750000,-1,547.0
760000,-1,808.0
770000,-1,785.0
780000,-1,1037.0
790000,-1,827.0
800000,-1,1000.0
810000,-1,884.0
820000,-1,1028.0
830000,-1,1037.0
840000,-1,946.0
