steps,episode,reward
10000,-1,253.0
20000,-1,400.0
30000,-1,500.0
40000,-1,491.0
50000,-1,362.0
60000,-1,478.0
70000,-1,365.0
80000,-1,416.0
90000,-1,413.0
100000,-1,429.0
110000,-1,419.0
120000,-1,454.0
130000,-1,445.0
140000,-1,400.0
150000,-1,445.0
160000,-1,516.0
170000,-1,450.0
180000,-1,330.0
190000,-1,445.0
200000,-1,340.0
210000,-1,434.0
220000,-1,395.0
230000,-1,507.0
240000,-1,400.0
250000,-1,411.0
260000,-1,594.0
270000,-1,460.0
280000,-1,383.0
290000,-1,477.0
300000,-1,426.0
310000,-1,370.0
320000,-1,541.0
330000,-1,544.0
340000,-1,416.0
350000,-1,435.0
360000,-1,483.0
370000,-1,382.0
380000,-1,501.0
390000,-1,515.0
400000,-1,285.0
410000,-1,511.0
420000,-1,509.0
430000,-1,506.0
440000,-1,465.0
450000,-1,392.0
460000,-1,554.0
470000,-1,525.0
480000,-1,614.0
490000,-1,542.0
500000,-1,519.0
510000,-1,470.0
520000,-1,513.0
530000,-1,517.0
540000,-1,434.0
550000,-1,532.0
560000,-1,544.0
570000,-1,503.0
580000,-1,543.0
590000,-1,500.0
600000,-1,497.0
610000,-1,400.0
620000,-1,566.0
630000,-1,580.0
640000,-1,404.0
650000,-1,480.0
660000,-1,574.0
670000,-1,466.0
680000,-1,465.0
690000,-1,531.0
700000,-1,448.0
710000,-1,469.0
720000,-1,569.0
730000,-1,451.0
740000,-1,525.0
750000,-1,474.0
