steps,episode,reward
10000,-1,311.0
20000,-1,436.0
30000,-1,502.0
40000,-1,607.0
50000,-1,675.0
60000,-1,483.0
70000,-1,623.0
80000,-1,536.0
90000,-1,567.0
100000,-1,565.0
110000,-1,480.0
120000,-1,775.0
130000,-1,820.0
140000,-1,793.0
150000,-1,790.0
160000,-1,556.0
170000,-1,615.0
180000,-1,491.0
190000,-1,876.0
200000,-1,563.0
210000,-1,663.0
220000,-1,641.0
230000,-1,660.0
240000,-1,639.0
250000,-1,620.0
260000,-1,621.0
270000,-1,694.0
280000,-1,624.0
290000,-1,585.0
300000,-1,680.0
310000,-1,930.0
320000,-1,543.0
330000,-1,433.0
340000,-1,714.0
350000,-1,678.0
360000,-1,729.0
370000,-1,695.0
380000,-1,971.0
390000,-1,530.0
400000,-1,716.0
410000,-1,539.0
420000,-1,870.0
430000,-1,687.0
440000,-1,707.0
450000,-1,685.0
460000,-1,727.0
470000,-1,465.0
480000,-1,872.0
490000,-1,615.0
500000,-1,800.0
510000,-1,695.0
520000,-1,624.0
530000,-1,869.0
540000,-1,678.0
550000,-1,780.0
560000,-1,720.0
570000,-1,838.0
580000,-1,844.0
590000,-1,998.0
600000,-1,808.0
610000,-1,778.0
620000,-1,640.0
630000,-1,744.0
640000,-1,830.0
650000,-1,796.0
660000,-1,611.0
670000,-1,704.0
680000,-1,590.0
690000,-1,846.0
700000,-1,696.0
710000,-1,681.0
720000,-1,817.0
730000,-1,663.0
740000,-1,760.0
750000,-1,676.0
760000,-1,811.0
770000,-1,760.0
780000,-1,647.0
790000,-1,751.0
