step,loss
0,3.002747058868408
1,9.5042724609375
2,5.177690505981445
3,3.161271095275879
4,2.745306968688965
5,2.602318525314331
6,2.5226874351501465
7,2.499258518218994
8,2.49169921875
9,2.486341953277588
10,2.482084274291992
11,2.479052782058716
12,2.482532501220703
13,2.483619213104248
14,2.4816834926605225
15,2.479897975921631
16,2.480396032333374
17,2.4759202003479004
18,2.4772400856018066
19,2.472710609436035
20,2.469151735305786
21,2.467564821243286
22,2.465881586074829
23,2.46246337890625
24,2.461538553237915
25,2.4567346572875977
26,2.4533958435058594
27,2.4466733932495117
28,2.441554546356201
29,2.4366631507873535
30,2.428907871246338
31,2.4191458225250244
32,2.4118993282318115
33,2.399165630340576
34,2.392432451248169
35,2.3823394775390625
36,2.366109609603882
37,2.3551197052001953
38,2.337221622467041
39,2.3215787410736084
40,2.3128585815429688
41,2.2987639904022217
42,2.2873988151550293
43,2.2781028747558594
44,2.261016845703125
45,2.254467010498047
46,2.240325927734375
47,2.24383282661438
48,2.233621597290039
49,2.2299387454986572
50,2.2268524169921875
51,2.206425189971924
52,2.1902177333831787
53,2.1981253623962402
54,2.1759934425354004
55,2.1540865898132324
56,2.1575567722320557
57,2.150012493133545
58,2.138726234436035
59,2.1284377574920654
60,2.1104109287261963
61,2.0951030254364014
62,2.0982506275177
63,2.0785655975341797
64,2.0769267082214355
65,2.053496837615967
66,2.048997402191162
67,2.0547077655792236
68,2.0253701210021973
69,2.01387882232666
70,2.0047030448913574
71,1.98476243019104
72,1.9811292886734009
73,1.96489417552948
74,1.9683310985565186
75,1.9686545133590698
76,1.9557276964187622
77,1.9480549097061157
78,1.9342505931854248
79,1.9400640726089478
80,1.9310961961746216
81,1.9330525398254395
82,1.9204314947128296
83,1.9144237041473389
84,1.910506248474121
85,1.896660566329956
86,1.8981293439865112
87,1.893985629081726
88,1.8958241939544678
89,1.8925584554672241
90,1.8853437900543213
91,1.8957421779632568
92,1.8748209476470947
93,1.8722528219223022
94,1.876231074333191
95,1.856034278869629
96,1.870880365371704
97,1.8711795806884766
98,1.8653805255889893
99,1.8642518520355225
100,1.858041524887085
101,1.867138147354126
102,1.8614367246627808
103,1.8641743659973145
104,1.8751672506332397
105,1.8643569946289062
106,1.8629165887832642
107,1.8606253862380981
108,1.8470349311828613
109,1.8560870885849
110,1.8689287900924683
111,1.8522371053695679
112,1.8535431623458862
113,1.8338711261749268
114,1.8692454099655151
115,1.8382970094680786
116,1.8393428325653076
117,1.8556697368621826
118,1.8472002744674683
119,1.8425170183181763
120,1.8497520685195923
121,1.8468363285064697
122,1.85012686252594
123,1.8448020219802856
124,1.852663278579712
125,1.8398481607437134
126,1.8191132545471191
127,1.824277639389038
128,1.8249258995056152
129,1.839415431022644
130,1.8344857692718506
131,1.8190537691116333
132,1.8173534870147705
133,1.8159856796264648
134,1.8338364362716675
135,1.8364148139953613
136,1.8190383911132812
137,1.814079999923706
138,1.8016259670257568
139,1.8299500942230225
140,1.8261423110961914
141,1.8233134746551514
142,1.8192015886306763
143,1.8168741464614868
144,1.818211317062378
145,1.8139514923095703
146,1.8235455751419067
147,1.8116356134414673
148,1.8233548402786255
149,1.8227508068084717
150,1.817213773727417
151,1.8124114274978638
152,1.821685791015625
153,1.8042844533920288
154,1.8171194791793823
155,1.8293622732162476
156,1.8028666973114014
157,1.7913862466812134
158,1.8154335021972656
159,1.8135120868682861
160,1.8136563301086426
161,1.7990309000015259
162,1.8033907413482666
163,1.8098692893981934
164,1.79701566696167
165,1.8135571479797363
166,1.7982076406478882
167,1.7942229509353638
168,1.8074514865875244
169,1.7999683618545532
170,1.8190964460372925
171,1.7940031290054321
172,1.7978756427764893
173,1.811922311782837
174,1.808327555656433
175,1.789795160293579
176,1.7964621782302856
177,1.7847976684570312
178,1.7771083116531372
179,1.7927483320236206
180,1.8047415018081665
181,1.7958523035049438
182,1.7977501153945923
183,1.7948379516601562
184,1.7781908512115479
185,1.7843014001846313
186,1.7965710163116455
187,1.7776703834533691
188,1.7845888137817383
189,1.7808246612548828
190,1.787929654121399
