steps,episode,reward
10000,-1,954.0
20000,-1,903.0
30000,-1,726.0
40000,-1,293.0
50000,-1,842.0
60000,-1,599.5
70000,-1,312.5
80000,-1,330.0
90000,-1,192.0
100000,-1,221.5
110000,-1,398.5
120000,-1,468.5
130000,-1,423.0
140000,-1,597.0
150000,-1,421.5
160000,-1,256.0
170000,-1,137.5
180000,-1,415.5
190000,-1,285.0
200000,-1,158.5
210000,-1,372.0
220000,-1,438.5
230000,-1,190.0
240000,-1,353.5
250000,-1,249.5
260000,-1,490.5
270000,-1,320.5
280000,-1,299.5
290000,-1,198.5
300000,-1,308.0
310000,-1,216.5
320000,-1,244.0
330000,-1,350.5
340000,-1,315.0
350000,-1,366.0
360000,-1,221.5
370000,-1,366.0
380000,-1,166.5
390000,-1,290.5
400000,-1,204.0
410000,-1,300.5
420000,-1,342.0
430000,-1,245.5
440000,-1,638.5
450000,-1,243.0
460000,-1,212.5
470000,-1,389.0
480000,-1,277.0
490000,-1,328.5
500000,-1,261.0
510000,-1,357.0
520000,-1,232.0
530000,-1,495.0
540000,-1,302.5
550000,-1,372.0
560000,-1,254.0
570000,-1,278.5
580000,-1,295.5
590000,-1,245.0
600000,-1,252.5
610000,-1,260.0
620000,-1,283.0
630000,-1,149.5
640000,-1,287.5
650000,-1,430.5
660000,-1,349.0
670000,-1,380.0
680000,-1,324.0
690000,-1,401.5
700000,-1,226.0
710000,-1,344.0
720000,-1,260.5
730000,-1,381.0
740000,-1,206.0
750000,-1,264.0
760000,-1,267.5
770000,-1,361.0
780000,-1,248.5
790000,-1,246.0
800000,-1,311.0
810000,-1,339.0
820000,-1,264.5
830000,-1,268.5
840000,-1,436.5
850000,-1,332.5
