steps,episode,reward
10000,-1,150.0
20000,-1,244.0
30000,-1,435.0
40000,-1,375.0
50000,-1,415.0
60000,-1,423.0
70000,-1,499.0
80000,-1,320.0
90000,-1,505.0
100000,-1,355.0
110000,-1,400.0
120000,-1,345.0
130000,-1,480.0
140000,-1,280.0
150000,-1,411.0
160000,-1,535.0
170000,-1,540.0
180000,-1,395.0
190000,-1,531.0
200000,-1,470.0
210000,-1,449.0
220000,-1,379.0
230000,-1,330.0
240000,-1,500.0
250000,-1,445.0
260000,-1,496.0
270000,-1,505.0
280000,-1,385.0
290000,-1,450.0
300000,-1,604.0
310000,-1,400.0
320000,-1,583.0
330000,-1,608.0
340000,-1,421.0
350000,-1,580.0
360000,-1,408.0
370000,-1,480.0
380000,-1,508.0
390000,-1,510.0
400000,-1,385.0
410000,-1,475.0
420000,-1,480.0
430000,-1,370.0
440000,-1,486.0
450000,-1,420.0
460000,-1,514.0
470000,-1,469.0
480000,-1,452.0
490000,-1,498.0
500000,-1,485.0
510000,-1,530.0
520000,-1,510.0
530000,-1,526.0
540000,-1,440.0
550000,-1,500.0
560000,-1,480.0
570000,-1,450.0
580000,-1,450.0
590000,-1,547.0
600000,-1,487.0
610000,-1,481.0
620000,-1,560.0
630000,-1,567.0
640000,-1,454.0
650000,-1,610.0
660000,-1,550.0
670000,-1,504.0
680000,-1,455.0
690000,-1,410.0
700000,-1,490.0
710000,-1,444.0
720000,-1,460.0
730000,-1,478.0
740000,-1,497.0
750000,-1,489.0
760000,-1,572.0
770000,-1,599.0
780000,-1,405.0
790000,-1,484.0
800000,-1,515.0
810000,-1,575.0
820000,-1,550.0
830000,-1,516.0
840000,-1,551.0
850000,-1,500.0
860000,-1,420.0
870000,-1,599.0
880000,-1,395.0
890000,-1,543.0
900000,-1,559.0
910000,-1,470.0
920000,-1,568.0
930000,-1,462.0
940000,-1,425.0
950000,-1,577.0
960000,-1,551.0
970000,-1,500.0
980000,-1,525.0
990000,-1,576.0
1000000,-1,520.0
