step,loss
0,8.068482398986816
1,4481016.0
2,122100.140625
3,170647.828125
4,72543.2578125
5,3.1161141395568848
6,2.659118175506592
7,3.164520025253296
8,4.147592544555664
9,4.604325294494629
10,3.8685691356658936
11,2.4991416931152344
12,2.5734434127807617
13,2.5019524097442627
14,2.5317065715789795
15,2.5269503593444824
16,2.4928369522094727
17,2.5466158390045166
18,2.4930105209350586
19,2.5193135738372803
20,2.510958194732666
21,2.5146584510803223
22,2.5039327144622803
23,2.5086469650268555
24,2.500608444213867
25,2.496016502380371
26,2.5036261081695557
27,2.4902687072753906
28,2.502570152282715
29,2.4940719604492188
30,2.50039005279541
31,2.4931750297546387
32,2.4944090843200684
33,2.485384464263916
34,2.492426872253418
35,2.490488052368164
36,2.4866623878479004
37,2.4943630695343018
38,2.485203504562378
39,2.4880356788635254
40,2.4866342544555664
41,2.485421657562256
42,2.487342596054077
43,2.489133596420288
44,2.4886770248413086
45,2.4857916831970215
46,2.486258029937744
47,2.485722064971924
48,2.485901117324829
49,2.487481117248535
50,2.4858620166778564
51,2.4845833778381348
52,2.485651969909668
53,2.485121250152588
54,2.485229253768921
55,2.485197067260742
56,2.484299421310425
57,2.485214948654175
58,2.4838104248046875
59,2.487069845199585
60,2.4860692024230957
61,2.4851441383361816
62,2.4837169647216797
63,2.487305164337158
64,2.484851598739624
65,2.4867162704467773
66,2.4848039150238037
67,2.4847352504730225
68,2.484575033187866
69,2.484534978866577
70,2.485393762588501
71,2.4851605892181396
72,2.484863042831421
73,2.485128164291382
74,2.4851956367492676
75,2.485173225402832
76,2.485563278198242
77,2.485661506652832
78,2.485764503479004
79,2.484243869781494
80,2.4841220378875732
81,2.4852652549743652
82,2.4842824935913086
83,2.4854848384857178
84,2.4847006797790527
85,2.484722137451172
86,2.4842584133148193
87,2.4850943088531494
88,2.486659049987793
89,2.4842891693115234
90,2.4841294288635254
91,2.4861855506896973
92,2.4849536418914795
93,2.4850966930389404
94,2.4842405319213867
95,2.4858689308166504
96,2.4842231273651123
97,2.4845073223114014
98,2.484524726867676
99,2.4846222400665283
100,2.4856228828430176
101,2.4847984313964844
102,2.4838051795959473
103,2.4850001335144043
104,2.484367847442627
105,2.484544515609741
106,2.4838695526123047
107,2.4848413467407227
108,2.485405921936035
109,2.484395742416382
110,2.484004259109497
111,2.4853274822235107
112,2.484221935272217
113,2.4864134788513184
114,2.4857192039489746
115,2.4861278533935547
116,2.4892678260803223
117,2.48455548286438
118,2.4843544960021973
119,2.4867186546325684
120,2.4852750301361084
121,2.4888622760772705
122,2.4850921630859375
123,2.4865403175354004
124,2.4885494709014893
125,2.4850454330444336
126,2.487100124359131
127,2.484635829925537
128,2.4851438999176025
129,2.4851293563842773
130,2.4866607189178467
131,2.485491991043091
132,2.4854001998901367
133,2.488232374191284
134,2.4853122234344482
135,2.483987331390381
136,2.4877002239227295
137,2.4867513179779053
138,2.4847519397735596
139,2.4865829944610596
140,2.488516330718994
141,2.485910415649414
142,2.4852068424224854
143,2.4861557483673096
144,2.485659599304199
145,2.4835920333862305
146,2.4866511821746826
147,2.4839353561401367
148,2.4845471382141113
149,2.485283851623535
150,2.486483097076416
151,2.4851491451263428
152,2.483438491821289
153,2.4848434925079346
154,2.485490322113037
155,2.4862489700317383
156,2.485507011413574
157,2.484959363937378
158,2.484337091445923
159,2.4858932495117188
160,2.4860451221466064
161,2.4851791858673096
162,2.484297513961792
163,2.4849140644073486
164,2.48543119430542
165,2.4846792221069336
166,2.484917163848877
167,2.484706401824951
168,2.4899089336395264
169,2.4846994876861572
170,2.4850611686706543
171,2.4834957122802734
172,2.48767352104187
173,2.4881467819213867
174,2.484902858734131
175,2.486713171005249
176,2.4862024784088135
177,2.4859509468078613
178,2.484942674636841
179,2.4847512245178223
180,2.486365795135498
181,2.4848878383636475
182,2.4850192070007324
183,2.4858603477478027
184,2.487179756164551
185,2.484745979309082
186,2.4848461151123047
187,2.4846630096435547
188,2.485480308532715
189,2.484422206878662
190,2.485085964202881
191,2.4870214462280273
192,2.4864442348480225
193,2.484348773956299
194,2.485517978668213
195,2.484436511993408
196,2.485395908355713
197,2.485854148864746
198,2.4845199584960938
199,2.4854624271392822
200,2.4866762161254883
201,2.48464298248291
202,2.4847967624664307
203,2.484926223754883
204,2.4852705001831055
205,2.4846413135528564
206,2.4854369163513184
207,2.4853010177612305
208,2.4848031997680664
209,2.4845056533813477
210,2.4853532314300537
211,2.484339714050293
212,2.4847428798675537
213,2.484860420227051
214,2.48441743850708
215,2.4849374294281006
216,2.486525297164917
217,2.486825704574585
218,2.485772132873535
219,2.485072135925293
220,2.486374855041504
221,2.485522508621216
222,2.4849321842193604
223,2.485429525375366
224,2.486046314239502
225,2.485339641571045
226,2.484713554382324
227,2.485886573791504
228,2.4857146739959717
229,2.4849789142608643
230,2.4850683212280273
231,2.4837570190429688
232,2.4865808486938477
233,2.4876902103424072
234,2.4847934246063232
235,2.4848132133483887
236,2.4854347705841064
237,2.48484468460083
238,2.485853672027588
239,2.4845056533813477
240,2.4848110675811768
241,2.484823703765869
242,2.4844396114349365
243,2.48610258102417
244,2.4841301441192627
245,2.483765125274658
246,2.486006259918213
247,2.485795497894287
248,2.486809015274048
249,2.4865314960479736
250,2.48341703414917
251,2.48591685295105
252,2.4843995571136475
253,2.4854307174682617
254,2.4853506088256836
255,2.4854297637939453
256,2.485203981399536
257,2.485351800918579
258,2.484184741973877
259,2.4846625328063965
260,2.4851226806640625
261,2.4853179454803467
262,2.4854884147644043
263,2.485631227493286
264,2.4843075275421143
265,2.4847421646118164
266,2.485656976699829
267,2.484339952468872
268,2.4851462841033936
269,2.4863994121551514
270,2.484405517578125
271,2.4837589263916016
272,2.484567880630493
273,2.4865880012512207
274,2.486253261566162
275,2.485163927078247
276,2.48567795753479
277,2.485055446624756
278,2.48504638671875
279,2.4856741428375244
280,2.486771583557129
281,2.4854485988616943
282,2.4851465225219727
283,2.4853758811950684
284,2.4855704307556152
285,2.485961437225342
286,2.484945774078369
287,2.48453426361084
288,2.486847400665283
289,2.485325336456299
290,2.485701560974121
291,2.4860544204711914
292,2.4855527877807617
293,2.4888193607330322
294,2.486722707748413
295,2.4857749938964844
296,2.4863948822021484
297,2.487018585205078
298,2.484464645385742
299,2.484724760055542
300,2.486300230026245
301,2.485137462615967
302,2.484901189804077
303,2.4861903190612793
304,2.4861397743225098
305,2.4849109649658203
306,2.48396635055542
307,2.4877099990844727
308,2.4870877265930176
309,2.4862875938415527
310,2.4843859672546387
311,2.485670566558838
312,2.4850382804870605
313,2.4840383529663086
314,2.4858644008636475
315,2.485888957977295
316,2.4859721660614014
317,2.485135078430176
318,2.4868178367614746
319,2.487006664276123
320,2.486970901489258
321,2.4876785278320312
322,2.4846150875091553
323,2.485839605331421
324,2.4861278533935547
325,2.4862051010131836
326,2.484809398651123
327,2.4841182231903076
328,2.4853906631469727
329,2.486304998397827
330,2.4861321449279785
331,2.486870765686035
332,2.485551357269287
333,2.4845798015594482
334,2.4852569103240967
335,2.4872541427612305
336,2.485931873321533
337,2.485166311264038
338,2.485264778137207
339,2.4849905967712402
340,2.485696792602539
341,2.4879989624023438
342,2.4850497245788574
343,2.4861576557159424
344,2.4860596656799316
345,2.4852678775787354
346,2.485126495361328
347,2.485774040222168
348,2.485978126525879
349,2.4851152896881104
350,2.4847588539123535
351,2.485715389251709
352,2.4845263957977295
353,2.485604763031006
354,2.4847567081451416
355,2.4844131469726562
356,2.486088752746582
357,2.4873178005218506
358,2.487053394317627
359,2.4838085174560547
360,2.486203670501709
361,2.4874396324157715
