steps,episode,reward
10000,-1,116.0
20000,-1,160.5
30000,-1,163.0
40000,-1,207.0
50000,-1,278.5
60000,-1,194.0
70000,-1,221.5
80000,-1,170.0
90000,-1,179.0
100000,-1,340.5
110000,-1,187.0
120000,-1,273.0
130000,-1,260.0
140000,-1,356.5
150000,-1,227.0
160000,-1,366.5
170000,-1,266.5
180000,-1,229.0
190000,-1,378.5
200000,-1,345.0
210000,-1,263.5
220000,-1,304.5
230000,-1,352.0
240000,-1,208.0
250000,-1,437.5
260000,-1,160.5
270000,-1,291.0
280000,-1,210.0
290000,-1,241.0
300000,-1,203.0
310000,-1,403.0
320000,-1,211.5
330000,-1,229.5
340000,-1,435.5
350000,-1,545.5
360000,-1,343.5
370000,-1,421.5
380000,-1,374.0
390000,-1,546.0
400000,-1,299.0
410000,-1,327.0
420000,-1,366.5
430000,-1,241.5
440000,-1,346.0
450000,-1,263.0
460000,-1,244.5
470000,-1,287.5
480000,-1,283.5
490000,-1,329.5
500000,-1,384.5
510000,-1,331.0
520000,-1,264.0
530000,-1,188.5
540000,-1,362.5
550000,-1,308.5
560000,-1,423.0
570000,-1,401.5
580000,-1,381.0
590000,-1,316.0
600000,-1,325.5
610000,-1,334.0
620000,-1,468.0
630000,-1,293.0
640000,-1,377.5
650000,-1,523.5
660000,-1,276.5
670000,-1,266.0
680000,-1,435.0
690000,-1,355.5
700000,-1,541.5
710000,-1,294.5
720000,-1,301.0
730000,-1,428.0
740000,-1,311.0
750000,-1,313.0
760000,-1,324.0
770000,-1,322.5
780000,-1,251.0
790000,-1,234.5
800000,-1,455.5
810000,-1,365.0
820000,-1,348.0
830000,-1,416.5
840000,-1,360.5
850000,-1,293.5
860000,-1,425.0
870000,-1,418.5
880000,-1,322.5
890000,-1,421.0
900000,-1,393.5
910000,-1,476.0
920000,-1,402.5
930000,-1,314.0
940000,-1,389.0
