steps,episode,reward
10000,-1,686.0
20000,-1,610.5
30000,-1,796.0
40000,-1,366.0
50000,-1,262.5
60000,-1,299.0
70000,-1,215.0
80000,-1,504.0
90000,-1,179.5
100000,-1,185.0
110000,-1,367.0
120000,-1,191.5
130000,-1,240.5
140000,-1,290.0
150000,-1,188.0
160000,-1,397.5
170000,-1,206.5
180000,-1,362.5
190000,-1,202.5
200000,-1,226.5
210000,-1,330.0
220000,-1,248.5
230000,-1,359.5
240000,-1,305.5
250000,-1,288.0
260000,-1,408.5
270000,-1,566.5
280000,-1,148.0
290000,-1,223.0
300000,-1,297.0
310000,-1,263.0
320000,-1,319.5
330000,-1,304.0
340000,-1,320.0
350000,-1,388.5
360000,-1,317.0
370000,-1,579.5
380000,-1,407.0
390000,-1,150.0
400000,-1,270.5
410000,-1,183.5
420000,-1,256.0
430000,-1,224.5
440000,-1,351.0
450000,-1,428.5
460000,-1,323.5
470000,-1,325.0
480000,-1,584.0
490000,-1,475.0
500000,-1,159.0
510000,-1,381.0
520000,-1,529.0
530000,-1,187.0
540000,-1,717.0
550000,-1,415.5
560000,-1,292.5
570000,-1,324.0
