steps,episode,reward
10000,-1,896.0
20000,-1,956.0
30000,-1,413.5
40000,-1,121.0
50000,-1,309.0
60000,-1,287.5
70000,-1,226.5
80000,-1,162.0
90000,-1,209.0
100000,-1,313.5
110000,-1,170.0
120000,-1,503.0
130000,-1,195.0
140000,-1,245.0
150000,-1,163.5
160000,-1,266.5
170000,-1,221.0
180000,-1,281.5
190000,-1,170.5
200000,-1,405.5
210000,-1,298.0
220000,-1,469.5
230000,-1,291.0
240000,-1,481.0
250000,-1,296.5
260000,-1,458.5
270000,-1,260.0
280000,-1,358.5
290000,-1,277.0
300000,-1,592.5
310000,-1,377.0
320000,-1,368.5
330000,-1,280.5
340000,-1,328.5
350000,-1,333.0
360000,-1,387.0
370000,-1,264.5
380000,-1,289.5
390000,-1,210.0
400000,-1,348.5
