steps,episode,reward
10000,-1,419.0
20000,-1,360.0
30000,-1,385.0
40000,-1,326.0
50000,-1,546.0
60000,-1,469.0
70000,-1,627.0
80000,-1,815.0
90000,-1,698.0
100000,-1,606.0
110000,-1,540.0
120000,-1,729.0
130000,-1,803.0
140000,-1,719.0
150000,-1,983.0
160000,-1,738.0
170000,-1,695.0
180000,-1,962.0
190000,-1,868.0
200000,-1,710.0
210000,-1,810.0
220000,-1,749.0
230000,-1,812.0
240000,-1,778.0
250000,-1,747.0
260000,-1,831.0
270000,-1,1021.0
280000,-1,550.0
290000,-1,811.0
300000,-1,710.0
310000,-1,750.0
320000,-1,885.0
330000,-1,797.0
340000,-1,890.0
350000,-1,845.0
360000,-1,879.0
370000,-1,838.0
380000,-1,623.0
390000,-1,805.0
400000,-1,917.0
410000,-1,836.0
420000,-1,716.0
430000,-1,868.0
440000,-1,1071.0
450000,-1,890.0
460000,-1,795.0
470000,-1,876.0
480000,-1,839.0
490000,-1,896.0
500000,-1,939.0
510000,-1,855.0
520000,-1,728.0
530000,-1,910.0
540000,-1,781.0
550000,-1,851.0
