steps,episode,reward
10000,-1,265.0
20000,-1,455.0
30000,-1,375.0
40000,-1,572.0
50000,-1,565.0
60000,-1,520.0
70000,-1,511.0
80000,-1,610.0
90000,-1,575.0
100000,-1,535.0
110000,-1,455.0
120000,-1,515.0
130000,-1,490.0
140000,-1,611.0
150000,-1,638.0
160000,-1,535.0
170000,-1,585.0
180000,-1,587.0
190000,-1,660.0
200000,-1,597.0
210000,-1,570.0
220000,-1,628.0
230000,-1,606.0
240000,-1,622.0
250000,-1,810.0
260000,-1,728.0
270000,-1,589.0
280000,-1,570.0
290000,-1,644.0
300000,-1,550.0
310000,-1,672.0
320000,-1,687.0
330000,-1,619.0
340000,-1,663.0
350000,-1,754.0
360000,-1,582.0
370000,-1,505.0
380000,-1,637.0
390000,-1,695.0
400000,-1,726.0
410000,-1,570.0
420000,-1,601.0
430000,-1,645.0
440000,-1,730.0
450000,-1,627.0
460000,-1,565.0
470000,-1,612.0
480000,-1,656.0
490000,-1,711.0
500000,-1,639.0
510000,-1,635.0
520000,-1,609.0
530000,-1,745.0
540000,-1,824.0
550000,-1,705.0
560000,-1,768.0
570000,-1,642.0
580000,-1,648.0
590000,-1,644.0
600000,-1,606.0
610000,-1,600.0
620000,-1,450.0
630000,-1,595.0
640000,-1,585.0
650000,-1,570.0
660000,-1,642.0
670000,-1,591.0
680000,-1,645.0
690000,-1,565.0
700000,-1,493.0
710000,-1,426.0
720000,-1,712.0
730000,-1,410.0
740000,-1,619.0
750000,-1,666.0
