steps,episode,reward
10000,-1,135.0
20000,-1,260.0
30000,-1,294.0
40000,-1,374.0
50000,-1,280.0
60000,-1,411.0
70000,-1,456.0
80000,-1,480.0
90000,-1,479.0
100000,-1,364.0
110000,-1,457.0
120000,-1,480.0
130000,-1,480.0
140000,-1,220.0
150000,-1,426.0
160000,-1,555.0
170000,-1,485.0
180000,-1,405.0
190000,-1,495.0
200000,-1,465.0
210000,-1,350.0
220000,-1,355.0
230000,-1,501.0
240000,-1,431.0
250000,-1,476.0
260000,-1,489.0
270000,-1,441.0
280000,-1,569.0
290000,-1,487.0
300000,-1,625.0
310000,-1,410.0
320000,-1,345.0
330000,-1,399.0
340000,-1,385.0
350000,-1,532.0
360000,-1,345.0
370000,-1,455.0
380000,-1,380.0
390000,-1,487.0
400000,-1,451.0
410000,-1,500.0
420000,-1,334.0
430000,-1,409.0
440000,-1,439.0
450000,-1,496.0
460000,-1,527.0
470000,-1,466.0
480000,-1,463.0
490000,-1,454.0
500000,-1,426.0
510000,-1,467.0
520000,-1,445.0
530000,-1,567.0
540000,-1,475.0
550000,-1,440.0
560000,-1,520.0
570000,-1,566.0
580000,-1,684.0
590000,-1,504.0
600000,-1,585.0
610000,-1,480.0
620000,-1,503.0
630000,-1,470.0
640000,-1,498.0
650000,-1,430.0
660000,-1,418.0
670000,-1,530.0
680000,-1,385.0
690000,-1,448.0
700000,-1,425.0
710000,-1,503.0
720000,-1,481.0
730000,-1,461.0
740000,-1,445.0
750000,-1,475.0
760000,-1,485.0
770000,-1,425.0
780000,-1,500.0
